Source,Target,Label
Camilla Collett,"Heltberg, Marie Emilie",1830.01
Harald Titus Alexis Wergeland,Alf Collett,1878-1884
Harald Titus Alexis Wergeland,Nicolai Wergeland,1826.01.17
Nicolai Wergeland,Camilla Collett,1827.11.23
Nicolai Wergeland,Camilla Collett,1828.01.08
Camilla Collett,Oscar Wergeland,1833.11.03
Camilla Collett,Oscar Wergeland,1833.12
Camilla Collett,Oscar Wergeland,1833.12
Camilla Collett,Oscar Wergeland,1834.01.06
Camilla Collett,Oscar Wergeland,1834.02.17
Camilla Collett,Oscar Wergeland,1834.04
Camilla Collett,Oscar Wergeland,1835.02.11
Harald Titus Alexis Wergeland,Nicolai Wergeland,1834.12.19
Harald Titus Alexis Wergeland,Nicolai Wergeland,1834.12.01
Camilla Collett,"Diriks, Emilie",1835.03
Camilla Collett,"Diriks, Emilie",1835.05.05
Camilla Collett,"Diriks, Emilie",1835.04.05
Camilla Collett,"Diriks, Emilie",1835.05.22
Camilla Collett,"Diriks, Emilie",1835.05.24
Camilla Collett,"Diriks, Emilie",1835.05.24
Camilla Collett,"Diriks, Emilie",1835.07.16
Camilla Collett,"Diriks, Emilie",1835.07.19
Camilla Collett,"Diriks, Emilie",1835.07.24
Camilla Collett,"Diriks, Emilie",1835.07.24
Camilla Collett,"Diriks, Emilie",1835
Camilla Collett,"Diriks, Emilie",1835
Camilla Collett,"Diriks, Emilie",1835.10.03
Camilla Collett,"Diriks, Emilie",1835.10.13
Camilla Collett,"Diriks, Emilie",1835.10.19
Camilla Collett,"Diriks, Emilie",1835.11.01
Camilla Collett,"Diriks, Emilie",1835.1-1835.11
Camilla Collett,"Diriks, Emilie",1835.11.04
Camilla Collett,"Diriks, Emilie",1835.11.12
Camilla Collett,"Diriks, Emilie",1835.10.23
Camilla Collett,Oscar Wergeland,1835.11.17
Camilla Collett,"Diriks, Emilie",1835.11.20
Camilla Collett,"Diriks, Emilie",1835.11.22
Camilla Collett,"Diriks, Emilie",1835.11.25
Camilla Collett,"Diriks, Emilie",1835.12.20
Camilla Collett,Oscar Wergeland,1836.01.07
Camilla Collett,Bernhard Herre,1836.04.10
Camilla Collett,"Diriks, Emilie",1836.01.17
Camilla Collett,"Diriks, Emilie",1836.03.04
Camilla Collett,Nicolai Wergeland,1836.02.23
Camilla Collett,"Diriks, Emilie",1836.03.10
Camilla Collett,"Diriks, Emilie",1836.03.15
Camilla Collett,Oscar Wergeland,1836.03.18
Camilla Collett,"Diriks, Emilie",1836.04.18
Camilla Collett,Oscar Wergeland,1836.04.17
Camilla Collett,"Boyesen, Petra",1836.08
Camilla Collett,"Diriks, Emilie",1836.04.28
Camilla Collett,"Diriks, Emilie",1836.05.22
Camilla Collett,"Diriks, Emilie",1836.05.28
Camilla Collett,"Diriks, Emilie",1836.06.11
Camilla Collett,Oscar Wergeland,1836.06.26
Camilla Collett,Marie Colban,1839.07.28
Camilla Collett,"Diriks, Emilie",1838.05
Camilla Collett,"Diriks, Emilie",1836.08.06
Camilla Collett,"Diriks, Emilie",1836.08.09
Camilla Collett,Oscar Wergeland,1836.08.16
Nicolai Wergeland,Camilla Collett,1836.08.27
Camilla Collett,"Diriks, Emilie",1836.09.07
Camilla Collett,Oscar Wergeland,1836.10.22
Camilla Collett,"Diriks, Emilie",1837.05
Camilla Collett,"Diriks, Emilie",1836.11.10
Camilla Collett,"Diriks, Emilie",1836.12.19
Camilla Collett,"Diriks, Emilie",1837.04.23
Camilla Collett,"Diriks, Emilie",1837.04.23
Camilla Collett,Nicolai Wergeland,1836.11.18
Camilla Collett,Oscar Wergeland,1837.01.03-1837.01.22
Camilla Collett,Oscar Wergeland,1837.01.03
Camilla Collett,"Diriks, Emilie",1836.12.19
"Uken, Hedwig ",Camilla Collett,1837.01.22
Camilla Collett,Nicolai Wergeland,1837.05.06
Camilla Collett,Nicolai Wergeland,1837.05.06
Camilla Collett,"Diriks, Emilie",1837.05
Camilla Collett,"Diriks, Emilie",1837.05.14
Camilla Collett,Oscar Wergeland,1837.08.31-1837.09.04
Camilla Collett,"Diriks, Emilie",1837.09.29
Camilla Collett,"Diriks, Emilie",1837.10.14
Camilla Collett,"Diriks, Emilie",1837.10.30
Camilla Collett,"Diriks, Emilie",1837.12.27-1837.12.28
Camilla Collett,"Diriks, Emilie",1838.01.02
Camilla Collett,"Diriks, Emilie",1838.05
Camilla Collett,Niels Wisløff Rogstad,1839.04
Camilla Collett,"Diriks, Emilie",1838.01.12
Camilla Collett,"Diriks, Emilie",1838.04
Camilla Collett,"Diriks, Emilie",1838.02.11
Camilla Collett,"Diriks, Emilie",1838.01.08
Camilla Collett,"Diriks, Emilie",1838.01.02
Camilla Collett,"Diriks, Emilie",1838.02
Camilla Collett,"Diriks, Emilie",1838.02
Camilla Collett,Oscar Wergeland,1838.04.08
Camilla Collett,"Diriks, Emilie",1838
"Rye, Elise Schultz ",Camilla Collett,1829.05
"Thygesen, A. ",Camilla Collett,1829.04.26
Camilla Collett,"Diriks, Emilie",1838.05.04
Camilla Collett,"Diriks, Emilie",1838.06.22
Camilla Collett,"Diriks, Emilie",1838.05.07
Camilla Collett,"Diriks, Emilie",1838.05.09
Camilla Collett,"Diriks, Emilie",1838.05.11
Camilla Collett,"Diriks, Emilie",1838.05
Camilla Collett,"Diriks, Emilie",1838.05.24
Camilla Collett,"Diriks, Emilie",1838.05.20
Camilla Collett,"Diriks, Emilie",1838.05.25
Camilla Collett,"Diriks, Emilie",1838.05.27
Camilla Collett,"Diriks, Emilie",1838.05-1838.06
Camilla Collett,"Diriks, Emilie",1838.07
Camilla Collett,"Diriks, Emilie",1838.07
Camilla Collett,"Diriks, Emilie",1838.06.08
Camilla Collett,"Diriks, Emilie",1838.06.12-1838.06.25
Camilla Collett,Oscar Wergeland,1838.07.17
Camilla Collett,"Diriks, Emilie",1838.10.21
Camilla Collett,"Diriks, Emilie",1838
Camilla Collett,"Diriks, Emilie",1838.11
Camilla Collett,"Diriks, Emilie",1838.12.16
Camilla Collett,Oscar Wergeland,1838.10.07
Camilla Collett,"Diriks, Emilie",1838.10.21
Camilla Collett,"Diriks, Emilie",1838.11.07
Camilla Collett,"Diriks, Emilie",1838.11.07
Camilla Collett,"Diriks, Emilie",1838.12.16
Camilla Collett,"Diriks, Emilie",1838.09
Camilla Collett,"Diriks, Emilie",1838.04
Camilla Collett,"Diriks, Emilie",1838.12.25
"Dass, Isach Georg ",Camilla Collett,1838.12.27
"Bruun, Johannes ",Camilla Collett,1839.02.01
Camilla Collett,"Diriks, Emilie",1839.02.06
Camilla Collett,"Diriks, Emilie",1839.01
Camilla Collett,"Diriks, Emilie",1839.02
Camilla Collett,"Diriks, Emilie",1839.03
Camilla Collett,"Petersen Døderlein, Malvina",1839.03
Camilla Collett,"Petersen Døderlein, Malvina",1839.03
Camilla Collett,Nicolai Wergeland,1839.02
Camilla Collett,"Diriks, Emilie",1839.09
Camilla Collett,Oscar Wergeland,1839.04.14
Camilla Collett,"Diriks, Emilie",1839.04.29
Camilla Collett,"Diriks, Emilie",1839.05
Camilla Collett,"Diriks, Emilie",1839.05.07
Camilla Collett,"Diriks, Emilie",1839.05.18
Camilla Collett,"Diriks, Emilie",1839.06.12
Camilla Collett,Oscar Wergeland,1836.06
Camilla Collett,Oscar Wergeland,1840.08.09
Camilla Collett,Oscar Wergeland,1839.10.21
Camilla Collett,"Diriks, Emilie",1841.06
Camilla Collett,"Petersen Døderlein, Malvina",1839.1
Camilla Collett,"Diriks, Emilie",1839.09.30
Camilla Collett,"Diriks, Emilie",1839.09.26
Camilla Collett,"Petersen Døderlein, Malvina",1839.1
Camilla Collett,"Diriks, Emilie",1839.10.10
Camilla Collett,Ida Kjerulf,1839.11
Camilla Collett,Ida Kjerulf,1840.01.23
Ida Kjerulf,Camilla Collett,1840.1
Camilla Collett,"Diriks, Emilie",1840.01.30
Camilla Collett,"Diriks, Emilie",1840.06.15
Camilla Collett,"Diriks, Emilie",1840.07.06
Camilla Collett,"Diriks, Emilie",1840.09
Nicolai Wergeland,Peter Jonas Collett,1840.06.15
Camilla Collett,"Diriks, Emilie",1840.07.06
Camilla Collett,"Diriks, Emilie",1840.09
Camilla Collett,"Diriks, Emilie",1840.09
Camilla Collett,"Diriks, Emilie",1840.10.30
Camilla Collett,Peter Jonas Collett,1840.12
Camilla Collett,"Diriks, Emilie",1841.01
Camilla Collett,"Diriks, Emilie",1841.02.03
Camilla Collett,"Diriks, Emilie",1841.03.23
Camilla Collett,"Diriks, Emilie",1841.03.24
Camilla Collett,"Diriks, Emilie",1841.05.02
Camilla Collett,"Diriks, Emilie",1841.04.25
Camilla Collett,"Diriks, Emilie",1841.04
Camilla Collett,"Diriks, Emilie",1841.05.09
Camilla Collett,"Diriks, Emilie",1841.05.31
Camilla Collett,Nicolai Wergeland,1841.07.18
Camilla Collett,"Diriks, Emilie",1841.07
Camilla Collett,"Diriks, Emilie",1841.06.08
Camilla Collett,"Diriks, Emilie",1841.06.24
Camilla Collett,"Diriks, Emilie",1841.08.09
Camilla Collett,"Diriks, Emilie",1841.09
Camilla Collett,"Diriks, Emilie",1841.09.12
